location_id,borough,zone,service_zone,nta_code
4,Manhattan,Alphabet City,Yellow Zone,MN22
12,Manhattan,Battery Park,Yellow Zone,MN25
24,Manhattan,Bloomingdale,Yellow Zone,MN12
42,Manhattan,Central Harlem North,Boro Zone,MN03
43,Manhattan,Central Park,Yellow Zone,MN99
45,Manhattan,Chinatown,Yellow Zone,MN27
48,Manhattan,Clinton East,Yellow Zone,MN15
68,Manhattan,East Chelsea,Yellow Zone,MN13
74,Manhattan,East Harlem North,Boro Zone,MN34
75,Manhattan,East Harlem South,Boro Zone,MN33
79,Manhattan,East Village,Yellow Zone,MN22
87,Manhattan,Financial District North,Yellow Zone,MN25
90,Manhattan,Flatiron,Yellow Zone,MN13
100,Manhattan,Garment District,Yellow Zone,MN13
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,MN99
113,Manhattan,Greenwich Village North,Yellow Zone,MN23
116,Manhattan,Hamilton Heights,Boro Zone,MN04
120,Manhattan,Highbridge Park,Boro Zone,MN36
125,Manhattan,Hudson Sq,Yellow Zone,MN24
127,Manhattan,Inwood,Boro Zone,MN01
137,Manhattan,Kips Bay,Yellow Zone,MN20
140,Manhattan,Lenox Hill East,Yellow Zone,MN31
141,Manhattan,Lenox Hill West,Yellow Zone,MN31
142,Manhattan,Lincoln Square East,Yellow Zone,MN14
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,MN24
148,Manhattan,Lower East Side,Yellow Zone,MN28
151,Manhattan,Manhattan Valley,Yellow Zone,MN12
152,Manhattan,Manhattanville,Boro Zone,MN06
153,Manhattan,Marble Hill,Boro Zone,MN01
158,Manhattan,Meatpacking/West Village West,Yellow Zone,MN23
161,Manhattan,Midtown Center,Yellow Zone,MN17
166,Manhattan,Morningside Heights,Boro Zone,MN09
170,Manhattan,Murray Hill,Yellow Zone,MN20
194,Manhattan,Randalls Island,Yellow Zone,MN99
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,MN27
238,Manhattan,Upper West Side North,Yellow Zone,MN12
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,MN13
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,MN17
233,Manhattan,UN/Turtle Bay South,Yellow Zone,MN19
249,Manhattan,West Village,Yellow Zone,MN23
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,MN24
261,Manhattan,World Trade Center,Yellow Zone,MN25
202,Manhattan,Roosevelt Island,Boro Zone,MN31
262,Manhattan,Yorkville East,Yellow Zone,MN32
243,Manhattan,Washington Heights North,Boro Zone,MN35
244,Manhattan,Washington Heights South,Boro Zone,MN36
237,Manhattan,Upper East Side South,Yellow Zone,MN40
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,MN50
