Lat,Long
53.3048,-6.3102
53.3120,-6.3323
53.3405,-6.2000
53.3122,-6.1014
53.2725,-6.3178
53.3326,-6.0851
53.3388,-6.2549
53.2522,-6.0758
53.2537,-6.2689
53.2626,-6.3102
53.2796,-6.3348
53.2958,-6.3410
53.3058,-6.2255
53.3228,-6.1561
53.3347,-6.1957
53.2993,-6.2945
53.2547,-6.3051
53.3123,-6.1123
53.2992,-6.0905
53.2656,-6.1257
53.2706,-6.2267
53.2551,-6.2578
53.3246,-6.1204
53.2828,-6.3161
53.3420,-6.1649
53.3265,-6.2783
53.2643,-6.0993
53.2907,-6.3217
53.3494,-6.1232
53.2515,-6.1796
53.3221,-6.3176
53.2540,-6.0519
53.3203,-6.3203
53.3153,-6.1590
53.3013,-6.0923
53.3013,-6.1076
53.2768,-6.0340
53.2924,-6.3381
53.3110,-6.2886
53.2746,-6.2908
53.3026,-6.2901
53.3458,-6.3218
53.3104,-6.1514
53.2840,-6.1143
53.2997,-6.0895
53.3022,-6.1813
53.2531,-6.0083
53.3037,-6.1931
53.3226,-6.0826
53.2661,-6.0226
53.2673,-6.2407
53.3292,-6.1491
53.2686,-6.0360
53.2581,-6.0144
53.2941,-6.2443
53.3206,-6.0862
53.3164,-6.0194
53.2516,-6.0563
53.2809,-6.2423
53.2798,-6.0101
53.3166,-6.3446
53.2700,-6.1866
53.3072,-6.2111
53.2833,-6.0816
53.2539,-6.1813
53.3174,-6.3266
53.2989,-6.3167
53.2690,-6.2982
53.2726,-6.3199
53.3050,-6.2167
53.2741,-6.2843
53.3440,-6.2811
53.3054,-6.3088
53.2520,-6.2594
53.2614,-6.1652
53.3299,-6.3217
53.2660,-6.2436
53.2661,-6.1908
53.2890,-6.3444
53.2711,-6.1967
53.2882,-6.3062
53.3048,-6.3161
53.2854,-6.2212
53.3287,-6.1099
53.2537,-6.2989
53.2872,-6.1922
53.2870,-6.2812
53.2573,-6.2321
53.2891,-6.2287
53.3155,-6.2951
53.3468,-6.2876
53.2538,-6.1233
53.3053,-6.2849
53.3220,-6.1465
53.2560,-6.0976
53.3034,-6.2948
53.3047,-6.2788
53.2957,-6.1530
53.2988,-6.1773
53.3480,-6.0976
53.3058,-6.2238
53.2649,-6.0149
53.3113,-6.0361
53.3488,-6.2306
53.3057,-6.0348
53.2801,-6.2908
53.2966,-6.1854
53.3490,-6.3155
53.2595,-6.3014
53.3048,-6.3293
53.3118,-6.2424
53.2783,-6.2024
53.3353,-6.0955
53.2668,-6.0791
53.2582,-6.2852
53.3142,-6.0253
53.3376,-6.2225
53.3065,-6.1980
53.3448,-6.2065
53.3111,-6.0026
53.2889,-6.0962
53.2858,-6.1984
53.2708,-6.2757
53.3299,-6.0270
53.2831,-6.0804
53.2781,-6.3098
53.2810,-6.3086
53.2870,-6.2057
53.2996,-6.1425
53.3463,-6.1050
53.3250,-6.3299
53.2973,-6.3138
53.2772,-6.0234
53.3435,-6.0605
53.3484,-6.0256
53.2576,-6.2908
53.2549,-6.2786
53.3201,-6.0434
53.3033,-6.3152
53.2726,-6.2900
53.3179,-6.0651
53.3245,-6.2148
53.2976,-6.1638
53.3399,-6.0417
53.3322,-6.0505
53.2660,-6.0658
53.2577,-6.2741
53.2595,-6.1051
53.3238,-6.0395
53.3357,-6.0969
53.2678,-6.2014
53.3040,-6.3154
53.3217,-6.0512
53.2506,-6.1520
53.2938,-6.0157
53.2619,-6.3164
53.2748,-6.0561
53.2646,-6.1341
53.3331,-6.1961
53.2579,-6.3251
53.3124,-6.1135
53.2865,-6.0081
53.3098,-6.0580
53.2953,-6.0293
53.2647,-6.2101
53.3161,-6.2924
53.2981,-6.0527
53.2772,-6.3090
53.3443,-6.2837
53.3364,-6.0675
53.2858,-6.1957
53.2629,-6.0695
53.3203,-6.3391
53.3468,-6.2899
53.2749,-6.2862
53.2938,-6.2508
53.3036,-6.1784
53.3433,-6.3010
53.3273,-6.0891
53.2606,-6.0173
53.2864,-6.1761
53.2975,-6.2571
53.3168,-6.2078
53.2506,-6.2283
53.3247,-6.0536
53.2593,-6.1539
53.2687,-6.3130
53.3333,-6.2507
53.3261,-6.1825
53.2585,-6.0080
53.3290,-6.0503
53.2953,-6.0389
53.3372,-6.2807
53.2623,-6.1544
53.3332,-6.0256
53.2751,-6.3340
53.2923,-6.2238
53.2903,-6.1668
53.2595,-6.0204
53.2638,-6.0683
53.2992,-6.1635
53.2897,-6.0691
53.3219,-6.0626
53.2901,-6.0363
53.2847,-6.0480
53.3088,-6.3079
53.3191,-6.0885
53.3123,-6.1827
53.3173,-6.3396
53.2682,-6.0002
53.2671,-6.2309
53.3274,-6.0040
53.2958,-6.0106
53.2666,-6.2989
53.3269,-6.0975
53.2590,-6.2786
53.3446,-6.2933
53.2959,-6.2033
53.2844,-6.1272
53.2857,-6.1162
53.2668,-6.2319
53.2710,-6.2433
53.3122,-6.0146
53.3392,-6.2632
53.3449,-6.1674
53.3321,-6.2610
53.3196,-6.1005
53.2807,-6.0030
53.3301,-6.1220
53.3494,-6.1186
53.2893,-6.1193
53.2861,-6.3399
53.2932,-6.3320
53.3305,-6.1379
53.2601,-6.2185
53.2625,-6.2461
53.2650,-6.3053
53.2936,-6.0094
53.3479,-6.2317
53.2884,-6.2742
53.2890,-6.2541
53.2705,-6.2492
53.3340,-6.2154
53.3080,-6.2049
53.3208,-6.1696
53.3093,-6.0036
53.2649,-6.1937
53.2899,-6.1673
53.2943,-6.0794
53.2932,-6.2119
53.3417,-6.1975
53.2510,-6.2689
53.3187,-6.0575
53.3364,-6.1042
53.2946,-6.2875
53.3376,-6.0863
53.2626,-6.1609
53.2770,-6.2768
53.2524,-6.3492
53.3077,-6.3468
53.3482,-6.0852
53.2614,-6.1935
53.3420,-6.1955
53.2564,-6.0765
53.3214,-6.1650
53.2515,-6.2252
53.3009,-6.0401
53.3281,-6.2401
53.2866,-6.2668
53.3144,-6.0705
53.3434,-6.0166
53.3313,-6.1810
53.2795,-6.3126
53.2507,-6.0320
53.2629,-6.1324
53.2846,-6.3245
53.3040,-6.0466
53.2633,-6.0871
53.3162,-6.1758
53.2727,-6.1088
53.3309,-6.0876
53.2519,-6.0268
53.2741,-6.0898
53.2903,-6.0172
53.2981,-6.2382
53.3410,-6.2466
53.3292,-6.0345
53.3209,-6.3393
53.3156,-6.0935
53.2846,-6.1225
53.3366,-6.1808
53.3074,-6.1863
53.3031,-6.1603
53.3037,-6.1618
53.3107,-6.0331
53.3328,-6.2583
53.2607,-6.1549
53.2775,-6.1490
53.3290,-6.1982
53.3121,-6.1436
53.3024,-6.2674
53.3296,-6.1359
53.3381,-6.1476
53.3107,-6.0593
53.2857,-6.3111
53.3488,-6.0515
53.3113,-6.2834
53.3020,-6.1597
53.2649,-6.2938
53.3109,-6.0233
53.3140,-6.2587
53.2639,-6.3041
53.3371,-6.1420
53.3431,-6.2714
53.2504,-6.1199
53.2966,-6.0493
53.2910,-6.3250
53.3065,-6.3083
53.3175,-6.3227
53.2920,-6.2171
53.2527,-6.1568
53.3087,-6.3216
53.2902,-6.0977
53.2515,-6.2183
53.3276,-6.2555
53.2819,-6.1396
53.3250,-6.3221
53.3372,-6.2609
53.3126,-6.0633
53.2587,-6.3171
53.2507,-6.0022
53.3223,-6.2939
53.2813,-6.2646
53.2986,-6.1446
53.3312,-6.0190
53.3410,-6.0859
53.3029,-6.1009
53.2907,-6.1521
53.2881,-6.1955
53.3304,-6.3260
53.3097,-6.1310
53.3090,-6.2152
53.3429,-6.0993
53.2821,-6.0014
53.2756,-6.1407
53.3436,-6.1421
53.2775,-6.1795
53.2751,-6.2422
53.3393,-6.2429
53.3232,-6.1482
53.2762,-6.2418
53.2544,-6.2238
53.3303,-6.3001
53.3284,-6.1797
53.2686,-6.0755
53.2842,-6.2043
53.2636,-6.0685
53.2590,-6.0417
53.2572,-6.2030
53.3005,-6.0850
53.2652,-6.1329
53.3143,-6.1364
53.2758,-6.2830
53.2559,-6.3319
53.2701,-6.2557
53.2597,-6.3089
53.2522,-6.3208
53.2802,-6.0258
53.2751,-6.1118
53.2613,-6.0258
53.3025,-6.1327
53.3465,-6.1145
53.2640,-6.0409
53.3063,-6.2488
53.2648,-6.0942
53.2520,-6.2927
53.2920,-6.2552
53.3377,-6.1093
53.3127,-6.2455
53.3373,-6.1715
53.2907,-6.0918
53.3111,-6.1949
53.2645,-6.2995
53.3271,-6.1052
53.2913,-6.0822
53.2630,-6.1310
53.2730,-6.0081
53.2757,-6.1423
53.3313,-6.1939
53.3246,-6.2322
53.3452,-6.1472
53.2849,-6.2748
53.2922,-6.0545
53.3389,-6.0642
53.2630,-6.2610
53.3103,-6.0947
53.2804,-6.0006
53.3002,-6.0836
53.3395,-6.2641
53.3295,-6.0105
53.2759,-6.3276
53.3134,-6.1275
53.3497,-6.1839
53.2832,-6.0883
53.3280,-6.1719
53.3268,-6.1062
53.2537,-6.1836
53.3422,-6.0344
53.2933,-6.3487
53.2823,-6.2340
53.3194,-6.1847
53.2504,-6.2793
53.3046,-6.0424
53.3462,-6.1819
53.2661,-6.1607
53.3488,-6.2314
53.2945,-6.0128
53.3310,-6.2266
53.2653,-6.0597
53.2956,-6.1238
53.2647,-6.1682
53.3216,-6.0164
53.2501,-6.0912
53.3418,-6.2807
53.2668,-6.3356
53.2598,-6.0986
53.2890,-6.1844
53.3419,-6.0530
53.3139,-6.2301
53.2577,-6.2700
53.3271,-6.2609
53.2726,-6.1300
53.3138,-6.1523
53.2956,-6.2176
53.2885,-6.0016
53.3088,-6.0685
53.2614,-6.3379
53.2888,-6.1552
53.3064,-6.3292
53.2973,-6.1324
53.2745,-6.2164
53.3167,-6.3109
53.3280,-6.2106
53.2557,-6.0278
53.2517,-6.0330
53.3245,-6.0885
53.2719,-6.1689
53.3081,-6.1419
53.2808,-6.0871
53.3092,-6.1882
53.2574,-6.1208
53.2506,-6.0464
53.2775,-6.0792
53.3253,-6.2205
53.2869,-6.1904
53.3162,-6.2200
53.3400,-6.1703
53.3090,-6.2714
53.2650,-6.1646
53.2932,-6.2695
53.3236,-6.0671
53.3484,-6.0825
53.3463,-6.2130
53.3217,-6.0083
53.2783,-6.1834
53.2806,-6.2465
53.3192,-6.0200
53.2514,-6.0659
53.3038,-6.0595
53.3070,-6.1858
53.3221,-6.0973
53.3434,-6.0227
53.2877,-6.3086
53.2524,-6.2747
53.3137,-6.1438
53.3081,-6.0531
53.3085,-6.2570
53.2725,-6.0280
53.2930,-6.2419
53.3135,-6.0819
53.2738,-6.0674
53.3304,-6.1682
53.2643,-6.2071
53.2664,-6.2941
53.2863,-6.2330
53.3101,-6.0760
53.2909,-6.2268
53.3282,-6.0775
53.2604,-6.0906
53.2842,-6.2024
53.2731,-6.1977
53.2932,-6.2781
53.2970,-6.3152
53.2683,-6.0577
53.3343,-6.2245
53.3446,-6.0486
53.2916,-6.0321
53.3196,-6.2111
53.3164,-6.2396
53.3341,-6.0630
53.3100,-6.3081
53.3487,-6.0905
53.2760,-6.2911
53.3273,-6.0443
53.3213,-6.0464
53.3309,-6.2863
53.3207,-6.1173
53.3133,-6.2563
53.2989,-6.1017
53.2517,-6.0776
53.2635,-6.2314
53.3334,-6.0670
53.2546,-6.2890
53.3249,-6.3055
53.3088,-6.2386
53.2593,-6.2470
53.2619,-6.0424
53.2923,-6.2360
53.3433,-6.2985
53.3039,-6.0652
53.2783,-6.3404
53.2663,-6.3438
53.2935,-6.0365
53.2588,-6.0711
53.3171,-6.3478
53.2936,-6.0986
53.2511,-6.0294
53.2754,-6.2902
53.2582,-6.1416
53.2561,-6.0924
53.2699,-6.0094
53.2545,-6.1756
53.2657,-6.2423
53.2616,-6.2625
53.3456,-6.0048
53.3285,-6.3262
53.3116,-6.0292
53.3282,-6.2441
53.2990,-6.1925
53.2732,-6.1898
53.3347,-6.2502
53.3322,-6.0691
53.2744,-6.1748
53.3465,-6.1626
53.2953,-6.2744
53.3335,-6.0363
53.3195,-6.1583
53.3291,-6.0110
53.3185,-6.2576
53.2834,-6.2937
53.2666,-6.1887
53.3413,-6.1954
53.3493,-6.1238
53.3427,-6.0634
53.3066,-6.0475
53.3006,-6.1746
53.2557,-6.2487
53.3203,-6.1314
53.2936,-6.3208
53.3343,-6.1012
53.2647,-6.3101
53.2635,-6.0791
53.3237,-6.1406
53.3363,-6.0757
53.3065,-6.0903
53.3020,-6.2872
53.2566,-6.3368
53.2999,-6.2694
53.2778,-6.1984
53.2819,-6.2156
53.3266,-6.0042
53.2727,-6.2650
53.3107,-6.0077
53.3216,-6.0776
53.2524,-6.2619
53.3013,-6.3424
53.3239,-6.2931
53.3192,-6.3203
53.3117,-6.1931
53.3191,-6.1825
53.3401,-6.1711
53.2828,-6.1240
53.3130,-6.2102
53.2736,-6.2584
